film_id,category,number_of_times_in_rental
742,Games,0
743,Animation,6
744,Classics,5
745,Sports,8
746,Games,5
747,Games,5
748,Action,8
749,Horror,4
750,New,3
751,New,2
752,Music,3
753,Family,8
754,Comedy,2
755,Children,7
756,Comedy,3
757,Documentary,5
758,Drama,3
759,New,6
760,New,7
761,Children,3
762,Games,4
763,Sports,5
764,Sports,8
765,Comedy,4
766,Drama,3
767,Music,8
768,Children,6
769,Foreign,2
770,Foreign,3
771,Drama,7
772,Drama,6
773,Sports,8
774,Comedy,4
775,Drama,5
776,Documentary,5
777,Sports,6
778,Family,6
779,Sports,2
780,Family,3
781,Games,2
782,Sports,6
783,Travel,4
784,Travel,6
785,Travel,6
786,Children,7
787,Travel,3
788,Documentary,4
789,Foreign,8
790,Drama,7
791,Documentary,6
792,Foreign,3
793,Action,4
794,Action,4
795,Family,4
796,Sports,5
797,Music,5
798,Sci-Fi,4
799,Horror,2
800,Horror,6
801,Children,0
802,Action,0
803,Drama,6
804,Horror,7
805,Animation,5
806,New,5
807,Games,5
808,Classics,2
809,Sports,4
810,Family,7
811,Travel,3
812,Documentary,6
813,Sports,4
814,Comedy,7
815,Classics,3
816,Animation,7
817,Sci-Fi,2
818,Drama,5
819,Music,3
820,Animation,6
821,Foreign,4
822,Family,2
823,Action,7
824,Family,4
825,Action,3
826,Travel,2
827,Drama,6
828,Classics,4
829,Family,5
830,Horror,4
831,Sci-Fi,3
832,Family,4
833,Children,7
834,Documentary,3
835,Games,8
836,Sports,3
837,Comedy,3
838,Action,6
839,Sci-Fi,2
840,Games,4
841,Sports,7
842,Games,4
843,Classics,7
844,Sports,4
845,Foreign,7
846,New,8
847,New,4
848,Travel,3
849,Animation,8
850,Action,7
851,Sports,6
852,Children,7
853,Children,3
854,Horror,4
855,Documentary,4
856,Horror,8
857,Comedy,7
858,Comedy,4
859,Animation,6
860,Sci-Fi,0
861,Games,6
862,Classics,5
863,Sci-Fi,7
864,Children,6
865,Animation,6
866,Family,2
867,Family,4
868,Travel,3
869,Action,7
870,Horror,8
871,Comedy,5
872,Travel,3
873,Children,8
874,Classics,0
875,Sports,7
876,Horror,2
877,Music,5
878,Travel,4
879,Music,7
880,Animation,8
881,Horror,4
882,Drama,4
883,Children,2
884,Music,3
885,Horror,2
886,Animation,4
887,Animation,6
888,Documentary,4
889,Children,3
890,Sports,7
891,Classics,7
892,Animation,7
893,Sci-Fi,8
894,Travel,5
895,Classics,7
896,Children,4
897,Drama,8
898,Sports,5
899,Classics,3
900,Foreign,4
901,Animation,7
902,Sports,7
903,Travel,2
904,Horror,2
905,Comedy,3
906,Comedy,5
907,Drama,4
908,Foreign,4
909,Horror,0
910,Drama,2
911,Action,8
912,Sci-Fi,6
913,New,6
914,Travel,6
915,Action,6
916,Animation,4
917,Sports,5
918,Children,4
919,Games,4
920,New,5
921,Music,4
922,Horror,7
923,Drama,3
924,Sci-Fi,5
925,Documentary,5
926,Documentary,2
927,Action,4
928,Children,3
929,Foreign,4
930,Sci-Fi,6
931,Travel,3
932,Comedy,4
933,New,3
934,Games,3
935,New,2
936,Music,6
937,New,5
938,Comedy,6
939,Comedy,4
940,Sports,3
941,Games,7
942,Drama,4
943,Documentary,0
944,Drama,5
945,Documentary,8
946,Family,4
947,Foreign,2
948,New,6
949,Games,6
950,Classics,0
951,Classics,7
952,Documentary,3
953,Animation,6
954,New,0
955,Children,0
956,Games,4
957,Foreign,5
958,Drama,6
959,Children,2
960,Documentary,3
961,Foreign,5
962,Classics,4
963,Animation,5
964,Action,5
965,Horror,2
966,Documentary,6
967,Sci-Fi,5
968,Action,3
969,Drama,4
970,Classics,7
971,Foreign,4
972,Sci-Fi,6
973,Documentary,8
974,New,2
975,Family,5
976,Games,6
977,Travel,3
978,Comedy,3
979,Drama,7
980,Music,5
981,Travel,6
982,Action,7
983,Music,3
984,Foreign,2
985,Sci-Fi,7
986,Animation,6
987,Music,4
988,Travel,5
989,Travel,6
990,Horror,2
991,Action,5
992,Documentary,4
993,Children,7
994,New,3
995,Horror,6
996,Documentary,2
997,Music,2
998,Horror,2
999,Children,5
1000,Comedy,8
